restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url,p_safe_pick
r_c7d735,50.0,0.1833888002153489,0.0,0.94,5.000000000000001,5.0,0.0,5.000000000000001,Hanami Ramen,Flushing,Ramen,NYC,ChIJEQzd-ZthwokRPhvKnAPYjAs,"147-07 45th Ave, Flushing, NY 11355",4.9,103,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqoaHxqNm8djktG6U9GqvMT3utkr5uesCn_z56NLhz3sycZ1pKjich8bibNvptgBeV9ybWt6uWUoxnXSPCGrK-UvlfgM05esZwClGGanD81xcBxWzqcjcaEQbVBcfFqT4TpgIfsvZTgiB0=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Hanami%20Ramen&query_place_id=ChIJEQzd-ZthwokRPhvKnAPYjAs,1.0
r_c60f67,50.0,0.32492113442636783,0.0,0.68,4.972300970769755,4.924453271164601,0.0,4.972300970769755,Xi'an Famous Foods 西安名吃 | Tangram Flushing,Flushing,Chinese,NYC,ChIJVePn8w5gwokRycLcg4MskL8,"133-33 39th Ave Level C, Flushing, NY 11354",4.5,284,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerB_UcNyCSlXf1BDQyYrf97gC24UGpww1A2jNii9nKJH2tByVhJ0vSe39Zn_tTf5aAA-7ZtsYULFx-ilvRhWZkeEbYpkdSf3ZLK-E0JG-zPbnDfJn7Rh09wroG1nejaG3Xixn_c=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Xi'an%20Famous%20Foods%20%E8%A5%BF%E5%AE%89%E5%90%8D%E5%90%83%20%7C%20Tangram%20Flushing&query_place_id=ChIJVePn8w5gwokRycLcg4MskL8,0.9814621728471201
r_4d533d,50.0,0.3568419763840496,0.0,0.6,4.971896323604658,4.922303031702101,0.0,4.971896323604658,Boca - Chicken Cafe,West Bronx,Restaurant,NYC,ChIJjYaWyFb1wokRcYFin-9OBbQ,"475 Bruckner Blvd, Bronx, NY 10455",5.0,200,https://lh3.googleusercontent.com/gps-cs-s/AHVAweotkvEhn1TRnxNoLaiEpFdgrkQP9WylUwyOs-HAq1t8mtJR_kLmr8rgyek3VYG9Ag-f5R9kUKh9DYcjWgqNvuPXqOJR7M6f2wNvsVH1Eh0S4YXYaY9BLnUCyL9ptrsJTvRja6uH2ScI4589=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Boca%20-%20Chicken%20Cafe&query_place_id=ChIJjYaWyFb1wokRcYFin-9OBbQ,0.9811913590528127
r_1dee11,50.0,0.29761794299450556,0.0,0.68,4.96619310529364,4.9289012852188065,0.0,4.96619310529364,Pita Yeero,Manhattan,Mediterranean,NYC,ChIJATED-k9ZwokR3tWBQgpuYCQ,"1229 1st Ave, New York, NY 10065",4.8,176,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoU9KARSTrroGkISjSvQoCNaAn2qBHs4Lv3NVYHYrN7_UWhcpWOgGzQnMA0HEMNUD8QIfrhlneFI9AOf-8EdzXp3By2FwCi7jN8EYkY0NA6gCYfc7uC85ePY4G7-lTbkwJcHzNIRscEaKY_=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Pita%20Yeero&query_place_id=ChIJATED-k9ZwokR3tWBQgpuYCQ,0.9773744283443047
r_662ac3,50.0,0.34828343573922527,0.0,0.6,4.965545303713539,4.987724725074198,0.022179421360658758,4.9544555930332095,Bua Thai Ramen & Robata Grill,Manhattan,Thai,NYC,ChIJq6o-8btYwokRAnPeXDLe9bM,"1611 2nd Ave, New York, NY 10028",4.8,9814,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo_9Dknxo_poHbc-G6WLeOGUiYyN9HSS3AMyTS12E_IGe4FCnZYY70c6PG1o_4oPq6qtmj4CN0Vbb-Pg65Ep4y-ISh3TncWcjvD4XsiUd7xNZMHEXRsj44Xn5iuwUR00t2iK8-A=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Bua%20Thai%20Ramen%20%26%20Robata%20Grill&query_place_id=ChIJq6o-8btYwokRAnPeXDLe9bM,0.9695189915461415
r_c4bdb4,50.0,0.3101094370438487,0.0,0.74,4.94237259851249,4.880953294078284,0.0,4.94237259851249,Meijin,Manhattan,Japanese,NYC,ChIJx1q8UrlYwokRjOmzO2_-otA,"1574 2nd Ave, New York, NY 10028",4.7,2191,https://lh3.googleusercontent.com/gps-cs-s/AHVAweopctLXwFxkeuWGzwz6qM3R8NO5PlAO_NwB4OC73Hif34ZCFkLTXGZ7_6WzxT0fQLj1LMAF7RxYEH9NuKWx9p0Jtl_x6BJQb2p010rDz0BvWE-otw3lA4IovvlZarM_bs_atLpD9T9n0Arw=w408-h288-k-no,https://www.google.com/maps/search/?api=1&query=Meijin&query_place_id=ChIJx1q8UrlYwokRjOmzO2_-otA,0.9614323376041433
r_77d245,50.0,0.28779126485414513,0.0,0.74,4.939539513095304,4.884022764782456,0.0,4.939539513095304,KYURAMEN - Flushing,Flushing,Japanese,NYC,ChIJfbej4ephwokRUQlaiJQjX-Y,"133-42 37th Ave, Queens, NY 11354",4.3,1879,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer1r7oAOY59J1llUicbPIHHeKTmgxS3bg9nhJ0jPmn4Jx1TCBg5HiRakYU0QWQHscXrla-JP8QgvuyHaeKSBvXNFbbcXrrd4OaoqXj3gUxSZqUceU7lvs8qg_X0EPPt43VKVRfG=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=KYURAMEN%20-%20Flushing&query_place_id=ChIJfbej4ephwokRUQlaiJQjX-Y,0.9595362694301802
r_0762e3,50.0,0.38225501765473907,0.0,0.56,4.903729190460912,4.800564952333125,0.0,4.903729190460912,Yoi Sushi,Flushing,Japanese,NYC,ChIJpVEIhQ5gwokROalRaxDmH3U,"133-22 39th Ave, Flushing, NY 11354",4.6,1329,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeKEUK-GmnLhbPfFnFmMiTk4gGksaGmJKE6Zx64f5XmDnpsGthGNLWm5N1wYXpjD63KWcIxNanWEYkaZ8ABVmhA7NiVdc2-xeJ0by2Vgomn_LWTG6PdEVzvZcBCKaMBkraKcsR=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Yoi%20Sushi&query_place_id=ChIJpVEIhQ5gwokROalRaxDmH3U,0.9355698854184138
r_a947dd,50.0,0.22221626780183967,0.0,0.84,4.889898654124434,4.877171910539223,0.0,4.889898654124434,ME Mediterranean Eatery,Manhattan,Mediterranean,NYC,ChIJoaJKT6lZwokRhhuJIS2Rcug,"548 Main St, New York, NY 10044",4.9,286,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_nzE3iMRGbMlMHt7tgDpwQej8WDzg0Sn16KKGIWxUTIsW5wfItbnVSpZzr-Exv1hxViZke-a-QePiV32MUIYqP8w8rWV0XC-KKdGjVrMOMe67JjO3z5Qor6tld3hYvwgh_wrGT5v53QNW=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=ME%20Mediterranean%20Eatery&query_place_id=ChIJoaJKT6lZwokRhhuJIS2Rcug,0.9263136732275082
r_23a1b0,50.0,0.24135433792570482,0.0,0.82,4.877851406736289,4.748869707336938,0.0,4.877851406736289,Tabata Ramen,Manhattan,Japanese,NYC,ChIJ1QTJtlJYwokRyrkOo1ZG2xg,"1435 2nd Ave, New York, NY 10021",4.4,1520,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerWDotWptTw5a9nYAJyU3-cFhwfz5CYF-By9koOicHmLIQSr6B4oLz2xHnKiROkkQCkE59-fFZJOZdizgPZkXIKIGu_qGGCVkwah1LbonHO1mIkdWkwgr82xtSZwrbPldFGrMjbAX8qPsAV=w408-h512-k-no,https://www.google.com/maps/search/?api=1&query=Tabata%20Ramen&query_place_id=ChIJ1QTJtlJYwokRyrkOo1ZG2xg,0.9182509433789993
