restaurant_id,name,neighborhood,cuisine,total_score,num_reviews,archetype,p_safe_pick,label_safe_pick
r_3ecf21,Sapori Ristorante,Arden Heights,Italian,4.9,50,Universally Loved,0.971,
r_5bc5e7,Batesy’s BBQ and Bar,Arverne,BBQ,4.5,50,Universally Loved,0.928,
r_eafb31,Boardwalk Pizzeria,Arverne,Pizza,4.1,50,Under the Radar,0.413,
r_d3e6ca,China King,Arverne,Chinese,3.3,50,Under the Radar,0.526,
r_3c47c2,Locals Collective NYC,Arverne,Cafe,4.5,50,Universally Loved,0.839,
r_0cd252,"Love, Marianne LLC",Arverne,Bakery,5.0,31,Local Favorite,1.0,
r_c1e1bc,Papa Johns Pizza,Arverne,Pizza,3.5,50,Under the Radar,0.471,
r_a5e4e9,Stop & Shop,Arverne,Restaurant,4.2,50,Universally Loved,0.648,
r_94ae59,Super Burrito Rockaway | Queens,Arverne,Mexican,4.4,50,Universally Loved,0.773,
r_0a7832,48 Deli and Grill,Astoria,Deli,4.2,50,Hidden Gem,0.674,
r_54767f,Mum Feteer فطير,Astoria,Cafe,4.8,50,Universally Loved,0.892,
r_d94399,New York Bakery Café,Astoria,Bakery,4.7,50,Hidden Gem,0.762,
r_e97d0b,Janooon Cafe,Bath Beach,Dessert,4.9,50,Hidden Gem,0.973,
r_642f9f,Loong Ramen,Battery Park City,Chinese,4.7,50,Universally Loved,0.843,
r_80fef1,Burmese Harp,Bay Ridge,Japanese,4.8,50,Universally Loved,0.935,
r_1ac7af,Falafel Palace,Bay Ridge,Middle Eastern,4.5,35,Local Favorite,0.901,
r_3e8eec,Greenhouse Cafe,Bay Ridge,Italian,4.5,50,Universally Loved,0.863,
r_8e0076,Kimchi Kooks Kate's Kitchen,Bay Ridge,Korean,4.8,50,Universally Loved,0.949,
r_521013,Luliano’s,Bay Ridge,Italian,4.5,50,Universally Loved,0.952,
r_008607,Piccante,Bay Ridge,Italian,4.6,50,Universally Loved,0.915,
r_984116,Tanoreen,Bay Ridge,Mediterranean,4.7,50,Tourist Trap,0.754,
r_85b0d0,Tequila Restaurant,Bay Ridge,Mexican,4.9,50,Universally Loved,0.959,
r_5a11d8,Villa Paradiso Ristorante Italiano,Bay Terrace,Italian,4.6,50,Universally Loved,0.865,
r_4e6e0b,JiBeiChuan Rice Noodle & Ramen,Bayside,Chinese,4.8,50,Hidden Gem,0.97,
r_5cabc5,Martha’s Country Bakery,Bayside,Bakery,4.4,50,Universally Loved,0.678,
r_db776b,The French Workshop,Bayside,Bakery,4.5,50,Hidden Gem,0.909,
r_3457fd,Blossom's Soul Food Fusion,Bedford-Stuyvesant,Restaurant,4.2,50,Tourist Trap,0.677,
r_5537bd,Chicken Stop - Bed Stuy,Bedford-Stuyvesant,Restaurant,4.6,50,Hidden Gem,0.948,
r_203c44,Cocktail Bedstuy,Bedford-Stuyvesant,Restaurant,4.6,50,Universally Loved,0.957,
r_7326fa,Copacabana seafood and brunch,Bedford-Stuyvesant,Restaurant,4.3,50,Universally Loved,0.787,
r_d7a324,DOLORES,Bedford-Stuyvesant,Restaurant,4.5,50,Universally Loved,0.802,
r_bf0550,Daphne's,Bedford-Stuyvesant,Italian,4.7,50,Universally Loved,0.958,
r_429f0b,Dar525,Bedford-Stuyvesant,Mediterranean,4.8,50,Universally Loved,0.978,
r_2a3525,For All Things Good Bed-Stuy,Bedford-Stuyvesant,Mexican,4.6,50,Universally Loved,0.867,
r_74e491,Hart's,Bedford-Stuyvesant,Mediterranean,4.6,50,Universally Loved,0.872,
r_b68795,Korkscrew Bistro,Bedford-Stuyvesant,Brunch,4.9,50,Universally Loved,0.965,
r_c9f3da,L'Antagoniste,Bedford-Stuyvesant,French,4.5,50,Universally Loved,0.944,
r_8b6f67,Lavender Room Brooklyn,Bedford-Stuyvesant,Restaurant,4.7,50,Hidden Gem,0.89,
r_d212df,Ler Lers,Bedford-Stuyvesant,Thai,4.9,50,Universally Loved,1.0,
r_b83ea1,Macosa Trattoria,Bedford-Stuyvesant,Italian,4.6,50,Tourist Trap,0.777,
r_607d24,Peaches HotHouse,Bedford-Stuyvesant,Brunch,4.4,50,Universally Loved,0.83,
r_2d6016,Saraghina Pizzeria,Bedford-Stuyvesant,Pizza,4.5,50,Universally Loved,0.862,
r_69ab50,Shipwreck Seafood Boutique,Bedford-Stuyvesant,Seafood,4.8,50,Universally Loved,0.898,
r_fa121d,WARUDE,Bedford-Stuyvesant,Japanese,4.6,50,Universally Loved,0.931,
r_688e9d,Ann & Tony’s Restaurant,Belmont,Italian,4.4,50,Tourist Trap,0.766,
r_619aae,Antonio's Trattoria,Belmont,Italian,4.6,50,Universally Loved,0.896,
r_e1f836,Arthur Ave Crust & Kitchen,Belmont,Pizza,4.5,50,Universally Loved,0.897,
r_22d308,Arthur Avenue Market Pasticceria,Belmont,Italian,4.7,50,Universally Loved,0.902,
r_7d6651,Bronx Little Italy,Belmont,Italian,4.6,50,Tourist Trap,0.771,
r_3d2418,Dominick's,Belmont,Italian,4.5,50,Tourist Trap,0.804,
r_733479,Emilia's,Belmont,Italian,4.6,50,Universally Loved,0.909,
r_36f31f,Enzo's of Arthur Avenue,Belmont,Italian,4.4,50,Universally Loved,0.853,
r_51b396,Frankie's Restaurant Arthur Avenue,Belmont,Pizza,4.7,50,Hidden Gem,0.96,
r_1dc3d4,Gurra Cafe,Belmont,Restaurant,4.7,50,Hidden Gem,0.922,
r_f5c530,Mario's Restaurant of Arthur Avenue,Belmont,Italian,4.4,50,Universally Loved,0.791,
r_89c0d2,Michaelangelo's Restaurant of Arthur Ave,Belmont,Pizza,4.3,50,Universally Loved,0.892,
r_13fdb1,Moise's Restaurant,Belmont,Pizza,4.5,50,Hidden Gem,0.923,
r_d25d51,Pasquale's Rigoletto,Belmont,Italian,4.3,50,Tourist Trap,0.654,
r_0c903b,Piattini Café Bar Osteria,Belmont,Restaurant,4.8,50,Universally Loved,0.882,
r_a184bc,San Gennaro,Belmont,Italian,4.4,50,Universally Loved,0.931,
r_f47205,Teriyaki One Japanese Grill (Teriyaki & Sushi),Belmont,Japanese,4.5,50,Hidden Gem,0.968,
r_b7f6fb,Tino's Delicatessen,Belmont,Pizza,4.5,50,Universally Loved,0.898,
r_9aa2f4,Tra Di Noi,Belmont,Italian,4.4,50,Universally Loved,0.697,
r_243c5d,Yopcity restaurant,Belmont,American,4.4,50,Universally Loved,0.858,
r_df49aa,Zero Otto Nove Bronx,Belmont,Italian,4.5,50,Universally Loved,0.906,
r_1ca5a8,Çka Ka Qëllu,Belmont,Mediterranean,4.8,50,Hidden Gem,0.939,
r_6652be,Lert Ros Thai Food,Bensonhurst,Thai,4.6,50,Tourist Trap,0.762,
r_3b269d,Mama's Noodle House,Bensonhurst,Restaurant,4.8,50,Universally Loved,0.915,
r_ca43b2,Ramen Thukpa- Brooklyn,Boerum Hill,Japanese,4.8,50,Hidden Gem,0.954,
r_786e9d,MAMILLA STREET FOOD,Borough Park,Restaurant,4.9,30,Local Favorite,0.982,
r_3957af,Berikoni Georgian Bakery,Brighton Beach,Bakery,4.4,50,Universally Loved,0.85,
r_e66117,Degirmen Restaurant and Bakery,Brighton Beach,Restaurant,4.8,50,Hidden Gem,0.932,
r_133e49,Genatsvale Georgian Bakery | Shawarma,Brighton Beach,Middle Eastern,4.7,50,Hidden Gem,0.868,
r_ad74ed,Pavlova Bakery Cafe,Brighton Beach,Bakery,4.6,50,Universally Loved,0.922,
r_b7624b,Adrienne's NYC,Broad Channel,Italian,4.7,50,Universally Loved,0.943,
r_1bd4b4,Hooks Pizza Parlor & Kitchen,Broad Channel,Restaurant,4.6,50,Universally Loved,0.94,
r_91338c,Tommy's Pizza Broad Channel,Broad Channel,Pizza,4.3,50,Hidden Gem,0.72,
r_a9d645,Ji Bei Chuan Noodles 季北川 BK 86,Brooklyn,Chinese,4.7,50,Universally Loved,0.844,
r_df628d,Michael’s,Brooklyn,Italian,4.7,50,Universally Loved,0.935,
r_acf00a,Din Soup Dumplings 鼎泰轩,Brooklyn Heights,Chinese,4.6,50,Under the Radar,0.357,
r_44dc48,Saketumi Asian Bistro,Brooklyn Heights,Japanese,4.6,50,Tourist Trap,0.701,
r_f5bf31,Teriyaki One Japanese Grill (Teriyaki & Sushi),Brooklyn Heights,Japanese,4.9,50,Hidden Gem,0.989,
r_23ed8e,Caribbean Bites and West Indian Cuisine Restaurant & Bakery,Brownsville,Restaurant,4.9,23,Local Favorite,0.983,
r_b347ef,Amaranto,Bushwick,Mexican,4.6,50,Universally Loved,0.925,
r_1d162b,Arepera Guacuco,Bushwick,American,4.5,50,Tourist Trap,0.727,
r_3e6216,Ayat Bushwick,Bushwick,Middle Eastern,4.5,50,Universally Loved,0.893,
r_259235,Carmenta’s,Bushwick,Italian,4.7,50,Universally Loved,0.905,
r_7b2de4,Eyval,Bushwick,Restaurant,4.6,50,Universally Loved,0.956,
r_09b56a,Forever Thai,Bushwick,Thai,4.8,50,Hidden Gem,0.994,
r_632426,GiGi Curry & Noodle Bar,Bushwick,Thai,4.9,50,Universally Loved,0.986,
r_b4f9ea,L'imprimerie,Bushwick,French,4.6,50,Universally Loved,0.777,
r_f0ab66,La Cantine,Bushwick,French,4.6,50,Universally Loved,0.875,
r_e0de73,Leslie's Kitchen,Bushwick,Mexican,4.6,50,Universally Loved,0.898,
r_c78c8c,Mominette Bistro,Bushwick,French,4.3,50,Universally Loved,0.891,
