restaurant_id,name,neighborhood,cuisine,label_safe_pick,notes
r001,Joe's Pizza (Times Sq),Midtown,Pizza,1,
r002,Carmine’s (Times Sq),Midtown,Italian,,
r003,Ellen’s Stardust Diner,Midtown,Diner,,
r004,The Halal Guys (53rd & 6th),Midtown,Halal,,
r005,Junior’s (Times Sq),Midtown,Bakery,,
r006,Lombardi’s Pizza,Nolita,Pizza,,
r007,Serendipity 3,Upper East Side,Dessert,,
r008,The Smith (Lincoln Square),Upper West Side,American,,
r009,Bubby’s (Tribeca),Tribeca,Brunch,,
r010,Grimaldi’s Pizzeria,DUMBO,Pizza,,
r011,Time Out Market (DUMBO),DUMBO,Food Hall,,
r012,Los Tacos No. 1 (Times Sq),Midtown,Mexican,,
r013,Tom’s Restaurant,Morningside Heights,Diner,,
r014,Magnolia Bakery (Bleecker),West Village,Bakery,,
r015,Levain Bakery (Upper West),Upper West Side,Bakery,,
r016,Katz’s Delicatessen,Lower East Side,Deli,,
r017,Shake Shack (Madison Sq Park),Flatiron,Burgers,,
r018,Prince Street Pizza,Nolita,Pizza,,
r019,Russ & Daughters Cafe,Lower East Side,Jewish,,
r020,L’Industrie Pizza,Williamsburg,Pizza,,
r021,Xi’an Famous Foods,East Village,Chinese,,
r022,Ichiran Ramen,Midtown,Ramen,,
r023,Tao Downtown,Chelsea,Asian,,
r024,Carbone,Greenwich Village,Italian,,
r025,Lucali,Carroll Gardens,Pizza,,
r026,Peter Luger Steak House,Williamsburg,Steakhouse,,
r027,Los Tacos No. 1 (Chelsea Market),Chelsea,Mexican,,
r028,Gramercy Tavern,Flatiron,American,,
r029,Via Carota,West Village,Italian,,
r030,Superiority Burger,East Village,Veggie,,
r031,Joe’s Shanghai,Chinatown,Chinese,,
r032,Llama San,West Village,Peruvian,,
r033,Spicy Village,Chinatown,Chinese,,
r034,Mamoun’s Falafel,Greenwich Village,Middle Eastern,,
r035,Tasty Hand-Pulled Noodles,Chinatown,Chinese,,
r036,Los Mariscos,Chelsea,Seafood,,
r037,Tanoreen,Bay Ridge,Middle Eastern,,
r038,Fuskahouse,Jackson Heights,Bangladeshi,,
r039,Adda Indian Canteen,Long Island City,Indian,,
r040,Arepa Lady,Jackson Heights,Colombian,,
r041,King of Falafel & Shawarma,Astoria,Middle Eastern,,
r042,Little Neck Dumpling House,Flushing,Chinese,,
