restaurant_id,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url
r_c66fee,Giovani's Big Pizza,West Bronx,Pizza,NYC,ChIJrZnZY7L1wokRiUEXQqiT-_A,"839 Prospect Ave, Bronx, NY 10459",4.3,278,http://t0.gstatic.com/images?q=tbn:ANd9GcRgYAQ3JXUGgU2D2n5pHbk6IpzP4cYqHJ2DmdKzJSMdP0saC7Dp,https://www.google.com/maps/search/?api=1&query=Giovani's%20Big%20Pizza&query_place_id=ChIJrZnZY7L1wokRiUEXQqiT-_A
r_dff4cb,Havana Cafe Takeout,East Bronx,Restaurant,NYC,ChIJw8zkWsj0wokR_JAkW37dgIM,"2164 Newbold Ave, Bronx, NY 10462",4.3,1492,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepVb4LEaD_S2476QHzuleIMwfMYCaojhgMXhtbrofeLY6a4jbql3XK7VHeipmJXCkK02nuZZrgiZSs0FSlisvCVnkFJbToIJnr3wmE0O6Dz_cxYcXAKUrTROmS8HdySCX1Ev8S6-A=w427-h240-k-no,https://www.google.com/maps/search/?api=1&query=Havana%20Cafe%20Takeout&query_place_id=ChIJw8zkWsj0wokR_JAkW37dgIM
r_612eb7,Tony's Pier,City Island,Seafood,NYC,ChIJBdUigIWLwokRJvFIxrTgr8s,"1 City Island Ave, Bronx, NY 10464",4.3,5995,https://lh3.googleusercontent.com/gps-cs-s/AHVAwersH-N8buZlZVCNsuv0MtCJ0Oz51lEA3lwT-uxWrL5YyD3nAjQBM-UbsbabdYP0Q-sxSwX7Y7U8ncrje_owbeU6-2U38p6LbHZ7gzgB-9_41pxQwdAhTzmYYcIfgVBZATgOL6S2=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Tony's%20Pier&query_place_id=ChIJBdUigIWLwokRJvFIxrTgr8s
r_f5b7ff,A&S Cucina,West Bronx,Italian,NYC,ChIJU2-XmLX1wokRQt2Kd8NsckM,"610 Exterior St Floor 4, Bronx, NY 10451",4.8,18,https://lh3.googleusercontent.com/gps-cs-s/AHVAweovwXbqjMOoCMeUqaYoE23iU3gS9cj7pOPMLQbpyqG34KUzdtxMW4Mco7nyCCJTIvTVk4x1N13tP9Ba-wV47knH-E2zaTP_OfM-tyiG1bBoyklTcsYTzofcKZN0UexQOq7IeKvysQ=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=A%26S%20Cucina&query_place_id=ChIJU2-XmLX1wokRQt2Kd8NsckM
r_42540c,Hacienda Agave,West Bronx,Mexican,NYC,ChIJI8z61xb1wokRdCyYtXD1Ghk,"496 E 138th St, Bronx, NY 10454",4.7,147,https://lh3.googleusercontent.com/gps-cs-s/AHVAweou6AaRbjPIT0XHkVJAuK5ddIplaNxc-vnkccR6a5PCOSeRY0wSBeaJLbK4cn6IzXRZcCa8OYWwGRzVQVOcwcbwKm0WhrHGz98ZTfC-Xc_B634r5ueAABR-dVJBFvTT2OM5y7zd=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Hacienda%20Agave&query_place_id=ChIJI8z61xb1wokRdCyYtXD1Ghk
r_7793cc,Suyo Gastrofusion,West Bronx,Restaurant,NYC,ChIJvRXKoD70wokRgXaViMBas0Q,"1401 Plaza Dr, Bronx, NY 10452",4.5,1172,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHiXXEal1wlCOrgzZ8ztWpX4Q4UG1M9MrxRlfreoXmcgMaccGAswcjMWZ2Y6IJi9__2K8eSjnEMST9_hSiy-DCFwe54ja5BWqOfNn1hQvDZVcBN45evFSXn6zoXseygA4SCO9NKfKXpAmX=w408-h307-k-no,https://www.google.com/maps/search/?api=1&query=Suyo%20Gastrofusion&query_place_id=ChIJvRXKoD70wokRgXaViMBas0Q
r_74d8df,Luna Cafe,Melrose,Restaurant,NYC,ChIJ_ZC0cPT1wokR9We0GA0wmvU,"726 Courtlandt Ave, Bronx, NY 10451",4.7,20,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep9CHJ2ZiwV6yrn7zvQlQmcUU8TiNsM_fvv4C0Jy2eZa1IW9M5Ma7RkONMWiazd9t0UhsbOTlFxMjK7eBZQEvTJ6IKl_t8_htm0NHiq2vZ-zh797NjROqL0kY2X_5dfoceiv9WKeQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Luna%20Cafe&query_place_id=ChIJ_ZC0cPT1wokR9We0GA0wmvU
r_97bd01,Maisonetta,Port Morris,Mexican,NYC,ChIJ6ZxdNlX1wokRtDoCPt_Iy4I,"141 Lincoln Ave, Bronx, NY 10454",4.5,358,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0Ume80K7skgFqBLGT1QEveeFxFHm4kdu8Wig5uJDOIYvNyc666-NVGdgvcgOucHdWZ8Xktj3fmXSoijiqa7uLQ6eHhM2iGuPB7UZwTuuETuhPsorJFwHprG1pDzjMI4dLJwEK=w408-h264-k-no,https://www.google.com/maps/search/?api=1&query=Maisonetta&query_place_id=ChIJ6ZxdNlX1wokRtDoCPt_Iy4I
r_5bffb7,Wicked Wolf Bronx,East Bronx,American,NYC,ChIJ-ZqZEBiLwokR-F0TH-ryllQ,"4029 E Tremont Ave, Bronx, NY 10465",4.5,838,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepbbtbJ5RRBA9_G9kznW5GQoEbXZqPA3NOCxWvBoF2EmH3MB6Y2MZ5LQA1dV3KfKzRbLhQoNz818NqidnSVvxnT4U4KvFtfx9DWIKe1JEpUax27lHB5f5p_AiewrC3rspOTR0QubA=w408-h573-k-no,https://www.google.com/maps/search/?api=1&query=Wicked%20Wolf%20Bronx&query_place_id=ChIJ-ZqZEBiLwokR-F0TH-ryllQ
r_1ceab5,Sugar Restaurant,West Bronx,Restaurant,NYC,ChIJEQ7GGTj1wokRPTSSOZSVons,"1010 Southern Blvd, Bronx, NY 10459",4.7,1603,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer2zX6U_m95zLfsmrcJ88AyzO8a_usedHeI__KuRU7lXb9Fr-V57JUoAYoUnGBZne0cEKL1OSj5Nr6Kmf6SYyFWpIfvHghT7Qas7SqytEEyDzXRvZz_saTSw4XDD6g-kmAr6Zjl=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Sugar%20Restaurant&query_place_id=ChIJEQ7GGTj1wokRPTSSOZSVons
