Restaurant Name,"Safe Pick (1 -- Yes, 0 -- No)"
Cho Dang Gol,1
Quique Crudo,1
Master Huang,1
Mountain House,1
Osamil,1
IZAKAYA SEASUN,1
Take 31,1
Kame,1
Abuqir,1
Parksanbal,1
by Antidote,1
Oiji Mi,1
Adel's Famous Halal Food,1
Somtum Der,1
Thai Diner,1
Hainan Chicken House,1
Kwa Food Deep Fried Skewers,1
Fish Cheeks,1
NUBIANI,1
Rice Thief,1
Raku,1
konban NYC,1
Uka Omakase,1
Antidote,1
CheLi,1
WOKUNI,1
John's Of Bleecker Street,1
Lou Yau Kee,1
Gaonnuri,1
Rubirosa,1
Saigon Social,1
Hareubang Dol Gui,1
Saranrom Thai,1
Sushi 295 Mercer,1
Fat Fowl,1
Miss Lily's 7A Cafe,1
Casa Adela,1
Wonder Pig K-BBQ,1
Haidilao Hot Pot Flushing,1
Banh Anh Em,1
Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei,1
Gao's Crab and Kabob,1
Chef Tan,1
Taku Sando,1
CHADA NYC,1
Scarr's Pizza,1
Lucia Pizza of SoHo,1
MOGMOG,1
Paulie Gee's Slice Shop,1
Izakaya Mew,1
Parm,1
Hahm Ji Bach,1
Mama Fina's,1
Renee's Kitchennette & Grill,1
Asian Jewels,1
SAPPEISAN,1
Soothr LIC,1
Jiang Nan NYC,1
Clinton St. Baking Company,1
Nan Xiang Soup Dumplings,1
Xi'an Famous Foods,1
7th Street Burger,1
The Commerce Inn,1
Son del North,1
ARIARI,1
Hanoi House,1
Taqueria Ramirez,1
Tenten,1
Wayan,1
Golden Diner,1
Kimura,1
1915 Lanzhou Hand Pulled Noodles,1
Kajiken Ramen,1
Soothr  ,1
Santa Halal Food,1
Daesung korean noodle,1
One Love,1
Kiki's,1
TONCHIN,1
Yunnan Rice Noodle House,1
Birds of a Feather,1
Shinka Ramen & Sake Bar,1
Susuru Ramen,1
MaLa Project,1
Tomo21 sushi,1
Breakfast by Salt's Cure,1
OKDONGSIK,1
Shuka,1
Cafe Mogador,1
KAL,1
Ainslie,1
Astoria Seafood,1
Olle,1
Shanghai You Garden,1
Laoma Malatang,1
THISBOWL,1
Ahui BBQ,1
Mama's TOO,1
RYNN,1
Din Tai Fung,1
Taste Good,0
BB Halal Food Inc,0
Hometown Hotpot & BBQ,0
Kikoo Sushi,0
Le Relais de Venise L'Entrecote,0
New Wonjo,0
Momosan Ramen & Sake,0
SEOUL SALON,0
Hot Peppers,0
Spring Shabu-Shabu,0
Tompkins Square Bagels,0
Utopia Bagels,0
Hi-Collar,0
Leon's Bagels,0
Sweet Chick,0
SAE RON,0
Hello Saigon,0
Marathon Hong Kong Diner,0
The Blue Light Speak Cheesy,0
Taiwanese Gourmet,0
Danny & Coop's Cheesesteaks,0
Federoff's Roast Pork,0
Wu's Wonton King,0
Parm Mulberry Street,0
Uncle Ray's Chicken Rice,0
Tavola Hells Kitchen,0
Nai brother,0
Apollo Bagels,0
Kong Sihk Tong,0
New Kim Tuong,0
Hamburger America,0
Master L Rice Noodle LIC,0
FER,0
Loong Noodles,0
Congee Village,0
Nowon East Village,0
DubuHaus,0
SIMO PIZZA,0
L'Industrie Pizzeria,0
Ichibantei,0
TOKUYAMATCHA & ONIGIRAZU BAR,0
Kisa,0
Serafina Italian Restaurant Meatpacking,0
Popup Bagels,0
Okiboru House of Tsukemen,0
YGF Malatang,0
