restaurant_id,num_reviews,avg_localness,pct_local_reviews,pct_tourist_reviews,local_weighted_rating,tourist_weighted_rating,tourist_penalty,adjusted_score,name,neighborhood,cuisine,city,google_place_id,address,total_score,review_count,image_url,url,price_midpoint,lat,lng,distance_to_times_sq_km,polarization,rating_skew,one_star_pct,five_star_pct,google_review_count,images_count,has_popular_times,num_categories,postal_code,pct_reviews_with_text,local_keyword_density,tourist_keyword_density,quality_keyword_density,meh_keyword_density,local_vs_tourist_ratio,avg_review_length,p_safe_pick,cluster,archetype
r_004586,50.0,0.27114940812612043,0.02,0.78,4.948367949254427,4.936886927838347,0.0,4.948367949254427,Gyu-Kaku Japanese BBQ,Midtown East,Japanese,NYC,ChIJszmN0-JYwokRk-XCDbO6X_Y,"805 3rd Ave #2, New York, NY 10022",4.5,3486.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepC2AlV-a89TiKsSwUHCLZQKNqIAeAfKSrXEw9-9wqhZGWCW9jjHeHJbRL_uH17t8Zgke_2mqHCp4wsSF2J_eTjyclqw1FBGNtINw2MPuYvzv5AAOM_--RQiyAE5VCroO6ie0yMXA=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Gyu-Kaku%20Japanese%20BBQ&query_place_id=ChIJszmN0-JYwokRk-XCDbO6X_Y,75.0,40.7555178,-73.9704168,1.311,0.7237521514629949,10.0,0.033849684452094,0.6899024670109007,3486.0,2887.0,1,5,10022.0,0.8,0.125,0.0,0.375,0.025,5.0,114.85,0.5784337124983054,4,Hidden Gem
r_00480a,50.0,0.2001015256066156,0.0,0.9,4.774710298899454,4.531291533727893,0.0,4.774710298899454,Nana's House Kitchen & Bar,Bushwick,Restaurant,NYC,ChIJVcmhnstdwokRBw9LuIXIrrY,"24 Irving Ave, Brooklyn, NY 11237",4.7,65.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepTDFnaZBFce19hhyIwPp9ysKAylCNUuqDJeeXo77AejbR8p4zHwkVHM4YWsnO5_7HrKFNBGmRGtfNov5QVWjYPjphNBNO-q5-M7OEpKV1z2SF4WwPKiCb5CfCOJTLKfO9wQPcsNzX3bKP3=w408-h305-k-no,https://www.google.com/maps/search/?api=1&query=Nana's%20House%20Kitchen%20%26%20Bar&query_place_id=ChIJVcmhnstdwokRBw9LuIXIrrY,15.0,40.7050733,-73.9253159,7.79,0.953846153846154,10.0,0.0615384615384615,0.8923076923076924,65.0,51.0,1,1,11237.0,0.78,0.4102564102564102,0.0769230769230769,0.4871794871794871,0.1025641025641025,5.333333333333333,250.4102564102564,0.6241500471520426,0,Universally Loved
r_00699e,50.0,0.2516668787314848,0.04,0.84,3.859367181866278,3.9136649497705576,0.05429776790427976,3.832218297914138,Wu's Wonton King,Lower East Side,Chinese,NYC,ChIJT5GkdilawokRy9yB3jEG_3Q,"165 E Broadway, New York, NY 10002",4.2,1652.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoUgRxCUPMZz2KzwqMqttmh6etbKP0nTY3rZiPMNGPhK9R4b3LtZb48wZ8dsRttrJQXSS26qY7VNY3LNj4GxEWgFKYmqh-UNHxX29hcYZK9WdcxelIEN5jpc-S5bsZMOc8YEScOKhzdlELO=w408-h408-k-no,https://www.google.com/maps/search/?api=1&query=Wu's%20Wonton%20King&query_place_id=ChIJT5GkdilawokRy9yB3jEG_3Q,,40.7138317,-73.989964,4.917,0.6458837772397095,6.567375886524823,0.0853510895883777,0.5605326876513317,1652.0,3060.0,1,1,10002.0,0.66,0.303030303030303,0.1515151515151515,0.1818181818181818,0.3333333333333333,2.0,333.6060606060606,0.24091486754660288,0,Universally Loved
r_006e00,50.0,0.22917455252345223,0.0,0.6,4.172610228692897,4.101305927506033,0.0,4.172610228692897,B&B - Best of the Best (Halal Cart),Sunnyside,Halal,NYC,ChIJq6HGKtlewokRySfE__8C_vU,"46-9, 46-01 Queens Blvd, Sunnyside, NY 11104",4.3,81.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep0PYXZEGaRgPP2bNPVLAHJ4-3pqTt1xcR19s8RZ7uKyd6rctbSHqPQLW5GwNLE83-oxanpWUTQZHYTKJo0_zRbYTuypHHjufxxlUWrUx-5Q7RTf1fZGKqsK6mngE37oBNToiYkvA=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=B%26B%20-%20Best%20of%20the%20Best%20(Halal%20Cart)&query_place_id=ChIJq6HGKtlewokRySfE__8C_vU,5.5,40.7433459,-73.9174772,6.006,0.8271604938271605,7.375,0.0987654320987654,0.7283950617283951,81.0,16.0,1,1,11104.0,0.68,0.088235294117647,0.088235294117647,0.1176470588235294,0.3235294117647059,1.0,161.52941176470588,0.3887375936840408,4,Hidden Gem
r_008607,50.0,0.1927813307927462,0.0,0.94,4.689724960997434,4.67767746833106,0.0,4.689724960997434,Piccante,Bay Ridge,Italian,NYC,ChIJq6q2g1dFwokROj-WwfhUPjI,"7410 3rd Ave, Brooklyn, NY 11209",4.6,405.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepbj7-Tf7b-KJUbiR2B0nloV2b2QSfKTaWNJk_axVvd-bwTDQSn5-pCGj1feVFFQyMBB02x7RQ7rYTJ0dO3Og06b5rUektUhB7LPzLUPQQ_t7BaHdxYKXgg05t7ehHVEr76D1Pr8q0gZMc-=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Piccante&query_place_id=ChIJq6q2g1dFwokROj-WwfhUPjI,25.0,40.6319113,-74.0278434,14.451,0.8246913580246914,10.0,0.0320987654320987,0.7925925925925926,405.0,381.0,1,3,11209.0,0.86,0.4418604651162791,0.0,0.7441860465116279,0.1627906976744186,19.0,331.0232558139535,0.6156276349769686,0,Universally Loved
r_00a8c0,50.0,0.2089127104534002,0.0,0.9,4.781237553522184,4.754391522998352,0.0,4.781237553522184,Masala Harbor,Mid Island,Indian,NYC,ChIJkdG2z09PwokRgstFvl7wtKQ,"323 Victory Blvd, Staten Island, NY 10301",4.8,413.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8rx_Crlev3aT_ExHuj6m40DDfhoOVPiOFEwUhfyYA9ps_gpwjGCrFpyZNf8a9HuR7lMD3FL5vjiOyfllZrMLSXVIXJ3nARPGXhXPSGw4CrQFuSrdzq6VVb1CxKKA0ERCeLumW3tQUXXtX=w408-h408-k-no,https://www.google.com/maps/search/?api=1&query=Masala%20Harbor&query_place_id=ChIJkdG2z09PwokRgstFvl7wtKQ,25.0,40.634252,-74.085711,16.163,0.9588377723970944,10.0,0.0242130750605326,0.9346246973365616,413.0,509.0,1,1,10301.0,0.94,0.2765957446808511,0.0425531914893617,0.5531914893617021,0.1276595744680851,6.5,202.91489361702128,0.5262527274724972,0,Universally Loved
r_00ae9b,50.0,0.28035603462934533,0.0,0.72,4.922920691739879,4.9188621685250355,0.0,4.922920691739879,Bordeaux Steakhouse,Midwood,French,NYC,ChIJq3ogpOtEwokRKoIeubTWEoc,"1922 Coney Island Ave, Brooklyn, NY 11230",4.8,1712.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3DSlg6WZpl-Ithsj9cF0G6m46YOr4Vopp2grHcvsAAMmOCBBLIe68r3YoHWBtbp77pv9aDyALMAfnQwGoNcPJy6HMEZZVkBirM_h6nPw2-_Ze08V3FDI_JkAwxbSyU93XqxaS=w408-h408-k-no,https://www.google.com/maps/search/?api=1&query=Bordeaux%20Steakhouse&query_place_id=ChIJq3ogpOtEwokRKoIeubTWEoc,100.0,40.6104514,-73.9626605,16.493,0.9059579439252337,10.0,0.009929906542056,0.8960280373831776,1712.0,2024.0,1,4,11230.0,0.56,0.0714285714285714,0.0,0.7142857142857143,0.1071428571428571,2.0,151.85714285714286,0.6370116352867222,4,Hidden Gem
r_0145ec,50.0,0.20661709815105223,0.04,0.92,4.466305391568616,4.533983442489868,0.06767805092125201,4.43246636610799,Little Italy Pizza,Midtown,Pizza,NYC,ChIJH5boACdZwokRxOeHa1vo00A,"167 W 48th St, New York, NY 10036",4.3,1918.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweofgy47gf0LYklB44NsU5UR7gi4zPHf5mZjAozXUL2XZCUHMifoxFrYmpZFWT_y3KBuXr5ALxTmLd4NaYqSZdRzgpjDQd_nzgadUQSlcgt4j6lE4mOGhhBbE_kzmw12vACNrIBmut3LxaU7=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Little%20Italy%20Pizza&query_place_id=ChIJH5boACdZwokRxOeHa1vo00A,15.0,40.7597869,-73.9837492,0.248,0.708029197080292,10.0,0.0537017726798748,0.6543274244004171,1918.0,1201.0,1,2,10036.0,0.78,0.1538461538461538,0.0512820512820512,0.2564102564102564,0.0769230769230769,3.0,200.5897435897436,0.18930946781275917,0,Universally Loved
r_015223,50.0,0.2695315963332036,0.0,0.78,4.916455465657075,4.7844094179801475,0.0,4.916455465657075,BK Belly,Williamsburg,Thai,NYC,ChIJ94je5ydbwokREDJmAJq27Zg,"216 Humboldt St, Brooklyn, NY 11206",4.8,335.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerRpfpZ51_nPDJBTHj0iJTRrAE176Amj84liaV3ZnxSYu9DldE2beGC7okaykvJHKS-0RpqHOXskBRP1slLu97QdbaMVeIRYmulWI0xAUsmNMcAVqWhqIRvu7Mh3zbAaVs5AXgYgBA7NilN=w408-h264-k-no,https://www.google.com/maps/search/?api=1&query=BK%20Belly&query_place_id=ChIJ94je5ydbwokREDJmAJq27Zg,,40.7087878,-73.9415741,6.617,0.9402985074626866,10.0,0.0388059701492537,0.9014925373134328,335.0,505.0,1,10,11206.0,0.76,0.4473684210526316,0.0526315789473684,0.5263157894736842,0.1052631578947368,8.5,195.5,0.5720051760782017,4,Hidden Gem
r_018d77,50.0,0.18883831642489624,0.0,0.96,4.03502614828697,3.967189921057341,0.0,4.03502614828697,Octo Restaurant,Murray Hill,Chinese,NYC,ChIJo5Z8DuZZwokR0VamSWa1LwE,"1 E 33rd St, New York, NY 10016",4.3,408.0,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq2ug2rGNe0O7oaQj8XKyDaVfQgI_xRMluzT-O6CHW3INPYoJpjdd1F9IUgeyPjHcP-WBT9vW-MlFb1LcT0YeQlMqwi0LmXAwCQOnpeUYXBrR1CLBTA06CWHHfk3LpfunRXxQ7WFP7PU5LI=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Octo%20Restaurant&query_place_id=ChIJo5Z8DuZZwokR0VamSWa1LwE,25.0,40.7476833,-73.9844144,1.149,0.6887254901960784,9.407407407407408,0.0661764705882353,0.6225490196078431,408.0,1082.0,1,2,10016.0,0.88,0.0909090909090909,0.0454545454545454,0.3181818181818182,0.2045454545454545,2.0,268.90909090909093,0.2467354575818842,0,Universally Loved
